Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Rated,Released,Writer,Country,Awards,BoxOffice
491,Stake Land,"Drama,Horror,Sci-Fi",Martin was a normal teenage boy before the country collapsed in an empty pit of economic and political disaster. A vampire epidemic has swept across what is left of the nation's abandoned ... See full summary »,Jim Mickle,"Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones",2010,98,6.5,36091,0.02,66,R,17 Jun 2011,"Nick Damici, Jim Mickle",United States,3 wins & 11 nominations total,"$33,245"
493,Cloverfield,"Action,Horror,Sci-Fi",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",2008,85,7,313803,80.03,64,PG-13,18 Jan 2008,Drew Goddard,United States,5 wins & 34 nominations total,"$80,048,433"
495,Under the Skin,"Drama,Horror,Sci-Fi","A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell",2013,108,6.3,94707,2.61,78,R,18 Apr 2014,"Walter Campbell, Jonathan Glazer, Michel Faber","United Kingdom, Switzerland, United States",Nominated for 2 BAFTA 23 wins & 113 nominations total,"$2,614,251"
496,I Am Legend,"Drama,Horror,Sci-Fi","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",Francis Lawrence,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",2007,101,7.2,565721,256.39,65,PG-13,14 Dec 2007,"Mark Protosevich, Akiva Goldsman, Richard Matheson","United States, United Kingdom",9 wins & 23 nominations total,"$256,393,010"
514,Bone Tomahawk,"Adventure,Drama,Horror",Four men set out in the Wild West to rescue a group of captives from cannibalistic cave dwellers.,S. Craig Zahler,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins",2015,132,7.1,47289,66.01,72,Not Rated,19 Feb 2016,S. Craig Zahler,"United States, United Kingdom",9 wins & 20 nominations total,N/A
528,The Green Inferno,"Adventure,Horror","A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.",Eli Roth,"Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton",2013,100,5.4,26461,7.19,38,R,25 Sep 2015,"Eli Roth, Guillermo Amoedo","Chile, United States",1 win & 6 nominations total,"$7,192,291"
532,Friend Request,"Horror,Thriller","When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.",Simon Verhoeven,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan",2016,92,5.4,12758,64.03,59,R,22 Sep 2017,"Matthew Ballen, Philip Koch, Simon Verhoeven","Germany, South Africa, Netherlands",2 wins & 1 nomination total,"$3,759,078"
562,Evil Dead,"Fantasy,Horror","Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",Fede Alvarez,"Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci",2013,91,6.5,133113,54.24,57,R,05 Apr 2013,"Fede Alvarez, Rodo Sayagues, Sam Raimi","United States, New Zealand, Australia",6 wins & 20 nominations total,"$54,239,856"
563,Sinister,"Horror,Mystery",Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.,Scott Derrickson,"Ethan Hawke, Juliet Rylance, James Ransone,Fred Dalton Thompson",2012,110,6.8,171169,48.06,53,R,12 Oct 2012,"Scott Derrickson, C. Robert Cargill","United States, United Kingdom, Canada",3 wins & 14 nominations total,"$48,086,903"
596,Let Me In,"Drama,Horror,Mystery",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,Matt Reeves,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono",2010,116,7.2,97141,12.13,79,R,01 Oct 2010,"Matt Reeves, John Ajvide Lindqvist","United Kingdom, United States, Sweden",14 wins & 28 nominations total,"$12,134,935"
